26,CAA,ชะอำ 1,Cha Am 1,ถาวร ,22kV,-,Without NGR,จ. เพชรบุรี ,กฟต.1, อนุมัติจ่ายไฟ วันที่ 20 ส.ค. 2563 , 1. กจฟ.(คฟ.)35094ขออนุมัติจ่ายไฟสถานีไฟฟ้าชะอำ 1 (ระบบ 22 kV Indoor Type) จ.เพชรบุรี ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
27,KDA,แก่งกระจาน,Kaeng Krachan,ชั่วคราว (รับไฟผ่าน Recloser) ,22kV,-,Without NGR,จ. เพชรบุรี ,กฟต.1, อนุมัติจ่ายไฟ วันที่ 27 เม.ย. 2527 ,-,KT2A ขนาด 12.5 MVA
28,RAB,ระยอง 2,Rayong 2,ถาวร ,115-22kV, Double Main and Transfer,With NGR,จ. ระยอง ,กฟก.2, อนุมัติจ่ายไฟ วันที่ 20 มิ.ย. 2527 , 1. ขออนุมัติจ่ายไฟหม้อแปลงไฟฟ้าทดแทน ที่สถานีไฟฟ้าระยอง 2 จ.ระยอง.pdf ,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
30,BRA,บุรีรัมย์ 1,Buri Ram 1,ถาวร ,22kV,-,Without NGR,จ. บุรีรัมย์ ,กฟฉ.3, อนุมัติจ่ายไฟ วันที่ 4 ต.ค. 2527 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
32,POA,พล,Phon,ถาวร ,22kV,-,Without NGR,จ. ขอนแก่น ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 12 พ.ย. 2561 ,-,KT1A ขนาด 31.5 MVA,KT2A ขนาด 25 MVA
33,PQA,ปทุมธานี 1,Pathum Thani 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ปทุมธานี ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 11 ก.พ. 2528 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
34,STA,สุโขทัย,Sukhothai,ถาวร ,22kV,-,Without NGR,จ. สุโขทัย ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 3 พ.ค. 2528 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
35,LBA,ลพบุรี 1,Lop Buri 1,ถาวร ,22kV,-,Without NGR,จ. ลพบุรี ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 25 ก.พ. 2562 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้าลพบุรี 1 (ระบบ 22 kV Indoor Type) จ.ลพบุรี ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
36,TSA,ทุ่งสง,Thung Song,ถาวร ,33kV,-,Without NGR,จ. นครศรีธรรมราช ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 29 ส.ค. 2528 ,-,KT3A ขนาด 50 MVA
38,SBA,สิงห์บุรี,Sing Buri,ถาวร ,22kV,-,Without NGR,จ. สิงห์บุรี ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 25 ธ.ค. 2561 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้าสิงห์บุรี (ระบบ 22 kV Indoor Type) จ.สิงห์บุรี ตามโครงการ คชฟ.3.pdf 
39,KLA,กาฬสินธุ์,Kalasin 1,ถาวร ,22kV,-,Without NGR,จ. กาฬสินธุ์ ,กฟฉ.2, อนุมัติจ่ายไฟ วันที่ 8 พ.ค. 2562 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้ากาฬสินธุ์ 1 (ระบบ 22 kV Indoor Type) จ.กาฬสินธุ์ ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 25 MVA,KT2A ขนาด 31.5 MVA
40,CYA,ชัยภูมิ 1,Chaiyaphum 1,ถาวร ,22kV,-,Without NGR,จ. ชัยภูมิ ,กฟฉ.3, อนุมัติจ่ายไฟ วันที่ 10 ก.พ. 2529 ,-,KT1A ขนาด 50 MVA,KT3A ขนาด 50 MVA
42,NQA,น้ำพอง,Nam Phong,ถาวร ,22kV,-,Without NGR,จ. ขอนแก่น ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 1 พ.ย. 2561 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
43,NTA,นครศรีธรรมราช 1,Nakhon Si Thammarat 1,ถาวร ,33kV,-,Without NGR,จ. นครศรีธรรมราช ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 15 พ.ค. 2529 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
44,KCA,กาญจนบุรี 1,Kanchana Buri 1,ถาวร ,22kV,-,Without NGR,จ. กาญจนบุรี ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 1 ต.ค. 2529 ,-,KT2A ขนาด 50 MVA,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
45,UDA,อุดรธานี 1,Udon Thani 1,ถาวร ,22kV,-,Without NGR,จ. อุดรธานี ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 27 ต.ค. 2561 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
46,PPA,พุนพิน 1,Phunphin 1,ถาวร ,33kV,-,Without NGR,จ. สุราษฎร์ธานี ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 19 ต.ค. 2529 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 25 MVA
47,PUA,พัทลุง,Phatthalung,ถาวร ,33kV,-,Without NGR,จ. พัทลุง ,กฟต.3, อนุมัติจ่ายไฟ วันที่ 2 เม.ย. 2530 ,-,KT1A ขนาด 50 MVA,KT3A ขนาด 50 MVA
48,MKA,มหาสารคาม 1,Mahasarakham 1,ถาวร ,22kV,-,Without NGR,จ. มหาสารคาม ,กฟฉ.2, อนุมัติจ่ายไฟ วันที่ 8 พ.ค. 2562 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้ามหาสารคาม 1 (ระบบ 22 kV Indoor Type) จ.มหาสารคาม ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
49,CLA,รัชชประภา,Rajjaprabha Dam,ชั่วคราว (รับไฟผ่าน Recloser) ,33kV,-,Without NGR,จ. สุราษฎร์ธานี ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 19 มิ.ย. 2530 ,-,KT2A ขนาด 25 MVA
50,SFA,สีคิ้ว,Sikhiu,ถาวร ,22kV,-,Without NGR,จ. นครราชสีมา ,กฟฉ.3, อนุมัติจ่ายไฟ วันที่ 24 มิ.ย. 2530 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
51,BUA,บึงกาฬ 1,Bueng Kan 1,ถาวร ,22kV,-,Without NGR,จ. บึงกาฬ ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 18 ส.ค. 2530 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
52,TAA,ตาก,Tak,ถาวร ,22kV,-,Without NGR,จ. ตาก ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 19 ส.ค. 2530 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
54,LKA,ลานกระบือ,Lan Krabu,ถาวร ,22kV,-,Without NGR,จ. กำแพงเพชร ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 15 ธ.ค. 2530 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
55,NAA,น่าน 1,Nan 1,ถาวร ,22kV,-,Without NGR,จ. น่าน ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 17 ธ.ค. 2563 , 1. กจฟ.(คฟ.)35328ขออนุมัติจ่ายไฟสถานีไฟฟ้าน่าน 1(ระบบ 22 kV Indoor Type) จ.น่าน ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
56,SUA,สุรินทร์ 1,Surin 1,ถาวร ,22kV,-,Without NGR,จ. สุรินทร์ ,กฟฉ.3, อนุมัติจ่ายไฟ วันที่ 30 ม.ค. 2531 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
58,ATA,อ่างทอง 1,Ang Thong 1,ถาวร ,115-22kV, GIS-Indoor/Double Bus Singer Breaker,Without NGR,จ. อ่างทอง ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 18 เม.ย. 2531 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
59,NNA,นครพนม 1,Nakhon Phanom 1,ถาวร ,115kV และ 22/33kV, H-Configuration,Without NGR,จ. นครพนม ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 26 เม.ย. 2531 , 1. อนุมัติรับไฟระบบ 115 kV Inc. No.1 จาก สฟ.นครพนม ของ กฟผ. เพื่อจ่ายไฟให้ สฟฟ.นครพนม 1 (ลานไก).pdf ,TP1 ขนาด 25 MVA,TP2 ขนาด 50 MVA
60,LPA,ลำปาง 1,Lampang 1,ถาวร ,22kV,-,Without NGR,จ. ลำปาง ,กฟน.1, อนุมัติจ่ายไฟ วันที่ 5 ส.ค. 2566 , 1. อนุมัติจ่ายไฟสถานีไฟฟ้าลำปาง 1 (ระบบ 22 kV Indoor Type).pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
61,MDA,มุกดาหาร 1,Mukdahan 1,ถาวร ,22kV,-,Without NGR,จ. มุกดาหาร ,กฟฉ.2, อนุมัติจ่ายไฟ วันที่ 10 ส.ค. 2531 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
62,LRA,ลำภูรา 1,Lampura 1,ถาวร ,33kV,-,Without NGR,จ. ตรัง ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 1 ก.ย. 2531 ,-,KT1A ขนาด 50 MVA,KT2A ขนาด 25 MVA,KT3A ขนาด 25 MVA
